id,V,Î¾,v
1,0.1,0.01,0.1
2,0.1,0.01,1.0
3,0.1,0.01,10.0
4,1.0,0.01,0.1
5,1.0,0.01,1.0
6,1.0,0.01,10.0
7,10.0,0.01,0.1
8,10.0,0.01,1.0
9,10.0,0.01,10.0
10,0.1,0.1,0.1
11,0.1,0.1,1.0
12,0.1,0.1,10.0
13,1.0,0.1,0.1
14,1.0,0.1,1.0
15,1.0,0.1,10.0
16,10.0,0.1,0.1
17,10.0,0.1,1.0
18,10.0,0.1,10.0
19,0.1,1.0,0.1
20,0.1,1.0,1.0
21,0.1,1.0,10.0
22,1.0,1.0,0.1
23,1.0,1.0,1.0
24,1.0,1.0,10.0
25,10.0,1.0,0.1
26,10.0,1.0,1.0
27,10.0,1.0,10.0
28,0.1,0.01,0.1
29,0.1,0.01,1.0
30,0.1,0.01,10.0
31,1.0,0.01,0.1
32,1.0,0.01,1.0
33,1.0,0.01,10.0
34,10.0,0.01,0.1
35,10.0,0.01,1.0
36,10.0,0.01,10.0
37,0.1,0.1,0.1
38,0.1,0.1,1.0
39,0.1,0.1,10.0
40,1.0,0.1,0.1
41,1.0,0.1,1.0
42,1.0,0.1,10.0
43,10.0,0.1,0.1
44,10.0,0.1,1.0
45,10.0,0.1,10.0
46,0.1,1.0,0.1
47,0.1,1.0,1.0
48,0.1,1.0,10.0
49,1.0,1.0,0.1
50,1.0,1.0,1.0
51,1.0,1.0,10.0
52,10.0,1.0,0.1
53,10.0,1.0,1.0
54,10.0,1.0,10.0
